,FD01_flux,FD01_flux_filled
201,,0.048369825765152676
202,,0.05212354952173071
203,,0.04548580509685858
204,,0.04950838189518181
205,,0.028829345258870983
206,,0.025367252871651206
207,,0.022404877898298533
208,,0.01699797224905751
209,,0.014484661293693791
210,,0.014773671098402268
211,,0.02021967780605708
212,,0.02455998601496018
213,,0.02998201248178959
214,,0.04053973668229752
215,,0.041493421873713875
216,,0.04458314599349217
217,,0.04681556201353395
218,,0.04761554773540707
219,,0.042966252182049094
220,,0.04360388177833441
221,,0.0455801346640671
222,,0.07858294001222907
223,,0.08608942760107663
224,,0.0757088363422327
225,,0.07091128008323956
226,,0.06825911613938403
227,,0.0680968565691907
228,,0.057803319730594965
229,,0.05701318305311403
230,,0.05159062021921225
231,,0.04791118338938126
232,,0.06000949372542283
233,,0.07048796718497079
234,,0.07538694133825424
235,,0.06298058834566428
236,,0.06241917558214756
237,,0.06285662421385142
238,,0.062300629153505684
239,,0.06222413909656133
240,,0.07791233205183928
241,,0.07040050292355132
242,,0.08807694141600543
243,,0.09536143825513785
244,,0.1037081156657338
245,,0.12465691029145806
246,,0.1866393029126779
247,,0.23001800454124324
248,,0.2432949036501575
249,,0.21801492546906512
250,,0.2395978074576653
251,,0.16453447347489783
252,,0.07610242181419422
253,,0.08243563358775796
254,,0.07492903044174905
255,,0.06399347052621958
256,,0.055328393960916815
257,,0.033556022667903355
258,,-0.009625199684316252
259,,-0.024972296864428117
260,,-0.037786065942468555
261,,-0.03645144570646868
262,,-0.03935353791471896
263,,-0.037513610912771375
264,,-0.045622732934700476
265,,-0.04401107357528212
266,,-0.043030636337923686
267,,-0.04892319201271832
268,,-0.05355801333711294
269,,-0.054769802963003746
270,,-0.0718513581092185
271,,-0.0777361109461333
272,,-0.07881451164152356
273,,-0.0773369464789498
274,,-0.045076978765144986
275,,-0.06469286025396875
276,,-0.025247357435404873
277,,-0.033937290665016065
278,,-0.027382590096882094
279,,-0.020114201226014046
280,,-0.024528622693464664
281,,-0.01618192826879744
282,,-0.019224950653899054
283,,-0.010597699741443273
284,,-0.0046831423645711
285,,0.006486817070319247
286,,0.01432538688304232
287,,0.010258460486510081
288,,0.006659272951815927
289,,0.002978962465046834
290,,0.0001475209634844199
291,,-0.002006255345209971
292,,-0.01176956363935145
293,,-0.01407376955923791
294,,-0.005649872371747824
295,,-0.015566316363364283
296,,-0.011898100821394792
297,,-0.01700654800564073
298,,-0.014458737481738546
299,,-0.011423778254194768
300,,-0.008751698118420454
301,,-0.026831437008111355
302,,-0.014869593110786537
303,,-0.0136035996062901
304,,-0.020404313441758293
305,,-0.032262100515636875
306,,-0.04254223470606481
307,,-0.03284221234038064
308,,-0.027019289843205677
309,,-0.02976449634076629
310,,-0.01353876502672199
311,,-0.010605348874878262
312,,-0.013687996662308135
313,,-0.028252182139613544
314,,-0.031255776418608334
315,,-0.03262318537288601
316,,-0.03245732438322749
317,,-0.030890284423502487
318,,-0.026127309664159788
319,,-0.02634274153150893
320,,-0.02756088212446198
321,,-0.025653794544192927
322,,-0.023824333708134336
323,,-0.023984490795544412
324,,-0.0227608965547449
325,,-0.008567426602913514
326,,0.0022956006367271017
327,,-0.0068242719442980875
328,,-0.0024853238319684826
329,,0.013528921252774844
330,,0.02395140145756711
331,,0.021120099912664964
332,,0.020367810174056457
333,,0.0005763480455453627
334,,-0.008469246086396981
335,,-0.017812702350791864
336,,-0.02164948025491326
337,,-0.005364971830142477
338,,-0.0004579634193793431
339,,0.0006022354968028584
340,,-0.0015801610544787005
341,,-0.005568945786432779
342,,0.006255625244836358
343,,0.004763809858888971
344,,0.002668789196075339
345,,0.003972162420450163
346,,-0.0034783354692133777
347,,-0.01102755059207971
348,,-0.017398028191312517
349,,-0.00900030185374378
350,,-0.007979692961406347
351,,-0.007734337297068649
352,,-0.020186831569285708
353,,-0.025585618638024367
354,,-0.034157212551406864
355,,-0.02528392429557742
356,,-0.02134450781186025
357,,-0.020866497301808534
358,,-0.03131975674240194
359,,-0.03449875842925416
360,,-0.017399729473761304
361,,-0.004414778037484316
362,,-0.015245709653912273
363,,-0.012559520690515484
364,,-0.006640737572792579
365,,-0.005754996766283096
366,,-0.003867493408546421
367,,-0.007953958763290752
368,,-0.008335526917973566
369,,-0.005782949988510358
370,,-0.00717159811951876
371,,-0.005184138692493077
372,,-0.012622795344381954
373,,-0.00027640200954880204
374,,-0.0013480090071237888
375,,0.012836485888967512
376,,-0.008833101631463782
377,,-0.01351138209322169
378,,-0.01296888127001622
379,,-0.013980123754676218
380,,-0.022353856468486526
381,,-0.022126010433938394
382,,-0.01720485492763192
383,,-0.01998314822890987
384,,-0.0347607580629012
385,,-0.04020651181527649
386,,-0.04134414467808853
387,,-0.04109559314563472
388,,-0.03837907789519625
389,,-0.03761781328078057
390,,-0.03853545805086377
391,,-0.03903163642960294
392,,-0.044255009884526596
393,,-0.042761644164399586
394,,-0.04722349714877113
395,,-0.048220341565531996
396,,-0.05081897385981435
397,,-0.040063479216409265
398,,-0.04327763116064193
399,,-0.04169952158119291
400,,-0.052471615731337906
401,,-0.0541240220805634
402,,-0.05244411404159138
403,,-0.05751910845190043
404,,-0.058219380551174246
405,,-0.06064396331668425
406,,-0.05971071443157534
407,,-0.05816261977494705
408,,-0.05913670273220383
409,,-0.0582329852908651
410,,-0.0607129606136771
411,,-0.06003340882748186
412,,-0.05699659783957116
413,,-0.06277962259406838
414,,-0.058713848166463904
415,,-0.051743620306598646
416,,-0.04660544368208195
417,,-0.047909382114067804
418,,-0.01763408466815108
419,,-0.016109682822677527
420,,-0.012497639737997383
421,,-0.013243172601931988
422,,0.005600162806662691
423,,0.010511383197507839
424,,0.006297322637270151
425,,0.013160735422477544
426,,0.019072888244263567
